bar#,time,open,high,low,close,volume,,,,,result,,,,W1,,,b1,W2,b2,,,,,,
0,2020-02-11T12:28:00.000000000Z,73.702,73.702,73.68,73.694,65,73.6,0,1,1,#VALUE!,#VALUE!,1.336638773,,0.00040224,-0.00908269,-0.00523597,-2.93E-05,0.00101629,-1.82374452,1,2,3,1,4,6
1,2020-02-11T12:30:00.000000000Z,73.694,73.696,73.678,73.68,56,73.6,1,0,2,#VALUE!,#VALUE!,1.33498158,,0.01405105,0.00013906,0.00056892,-2.76E-05,-0.00021245,,,,,2,4,7
2,2020-02-11T12:32:00.000000000Z,73.679,73.685,73.674,73.684,53,73.6,0,0,3,1,7.20E+00,1.331943392,,-0.00596962,-0.00728438,-0.00057294,-2.65E-05,-0.00705302,,,,,3,5,8
3,2020-02-11T12:34:00.000000000Z,73.688,73.702,73.686,73.701,94,73.6,0,0,4,1,7.20E+00,1.336638773,,0.00206611,-0.00616772,-0.01590415,,,,,,,,,
4,2020-02-11T12:36:00.000000000Z,73.7,73.701,73.684,73.69,62,73.6,0,0,5,1,7.20E+00,1.336362574,,-0.01599686,0.00532811,-0.00414706,,,,27,,,,,
5,2020-02-11T12:38:00.000000000Z,73.688,73.7,73.688,73.692,62,73.6,1,0,6,1,7.20E+00,1.336086375,,-0.00908269,,,-2.76E-05,,,,,,,,
6,2020-02-11T12:40:00.000000000Z,73.692,73.693,73.682,73.682,49,73.6,0,0,7,1,7.20E+00,1.334152983,,0.00013906,,,,,,,,,,,
7,2020-02-11T12:42:00.000000000Z,73.681,73.685,73.676,73.68,55,73.6,0,0,8,1,7.20E+00,1.331943392,,-0.00728438,,,,,,,,,,,
8,2020-02-11T12:44:00.000000000Z,73.679,73.693,73.678,73.69,36,73.6,0,0,9,1,7.20E+00,1.334152983,,-0.00616772,,,,,,,,,,,
9,2020-02-11T12:46:00.000000000Z,73.69,73.718,73.688,73.712,83,73.6,0,0,10,1,7.20E+00,1.341057954,,0.00532811,,,,,,,,,,,
10,2020-02-11T12:48:00.000000000Z,73.712,73.72,73.706,73.714,72,73.7,1,1,11,1,7.20E+00,1.341610352,,-0.00523597,,,-2.65E-05,,,,,,,,
11,2020-02-11T12:50:00.000000000Z,73.714,73.726,73.712,73.719,102,73.7,0,0,12,1,7.20E+00,1.343267545,,0.00056892,,,,,,,,,,,
12,2020-02-11T12:52:00.000000000Z,73.718,73.72,73.696,73.698,105,73.6,1,0,13,1,7.20E+00,1.341610352,,-0.00057294,,,,,,,,,,,
13,2020-02-11T12:54:00.000000000Z,73.698,73.7,73.691,73.696,60,73.6,1,0,14,1,7.20E+00,1.336086375,,-0.01590415,,,,,,,,,,,
14,2020-02-11T12:56:00.000000000Z,73.694,73.698,73.688,73.693,166,73.6,0,0,15,1,7.20E+00,1.335533977,,-0.00414706,,,,,,,,,,,
15,2020-02-11T12:58:00.000000000Z,73.694,73.694,73.673,73.677,124,73.6,0,0,16,1,7.20E+00,1.334429182,,,,,,,,,,,,,
16,2020-02-11T13:00:00.000000000Z,73.679,73.684,73.664,73.671,113,73.6,1,0,17,1,7.20E+00,1.331667193,,,,,,,,,,,,,
17,2020-02-11T13:02:00.000000000Z,73.672,73.672,73.652,73.654,109,73.6,0,0,18,1,7.20E+00,1.328352807,,open,high,low,close,volume,,,,,,,
18,2020-02-11T13:04:00.000000000Z,73.656,73.663,73.652,73.654,103,73.6,1,0,19,1,7.20E+00,1.325867018,,74.467,74.474,74.456,74.467,6814,,,,,,,
19,2020-02-11T13:06:00.000000000Z,73.652,73.652,73.636,73.646,74,73.6,0,0,20,1,7.20E+00,1.32282883,,68.86259253,68.8889767,68.83644273,68.86246913,423.1541667,,,,,,,
20,2020-02-11T13:08:00.000000000Z,73.648,73.66,73.646,73.659,85,73.6,0,0,21,1,7.20E+00,1.325038421,,3.620579894,3.608828267,3.632035774,3.620495958,380.0432996,,,,,,,
21,2020-02-11T13:10:00.000000000Z,73.658,73.658,73.633,73.636,93,73.6,0,0,22,1,7.20E+00,1.324486023,,13.10859877,13.02364146,13.19168386,13.10799098,144432.9096,,,,,,,
22,2020-02-11T13:12:00.000000000Z,73.636,73.64,73.606,73.62,125,73.6,1,0,23,1,7.20E+00,1.319514444,,,,,,,,,,,,,
23,2020-02-11T13:14:00.000000000Z,73.62,73.645,73.618,73.645,125,73.6,0,0,24,1,7.20E+00,1.320895438,,,,,,,,,,,,,
24,2020-02-11T13:16:00.000000000Z,73.648,73.654,73.644,73.646,83,73.6,0,0,25,1,7.20E+00,1.323381228,,,,,,,,,,,,,
25,2020-02-11T13:18:00.000000000Z,73.646,73.656,73.643,73.656,89,73.6,0,0,26,1,7.20E+00,1.323933626,,,,,,,,,,,,,
26,2020-02-11T13:20:00.000000000Z,73.656,73.656,73.634,73.646,93,73.6,0,0,27,1,7.20E+00,1.323933626,,,,,,,,,,,,,
27,2020-02-11T13:22:00.000000000Z,73.646,73.652,73.624,73.626,67,73.6,0,0,28,1,7.20E+00,1.32282883,,,,,,,,,,,,,
28,2020-02-11T13:24:00.000000000Z,73.628,73.628,73.576,73.589,157,73.5,0,0,29,1,7.20E+00,1.316200058,,,,,,,,,,,,,
29,2020-02-11T13:26:00.000000000Z,73.589,73.608,73.58,73.606,150,73.5,0,0,30,1,7.20E+00,1.310676081,,,,,,,,,,,,,
30,2020-02-11T13:28:00.000000000Z,73.607,73.612,73.58,73.582,177,73.5,0,0,31,1,7.20E+00,1.311780876,,,,,,,,,,,,,
31,2020-02-11T13:30:00.000000000Z,73.583,73.62,73.582,73.598,279,73.5,0,0,32,1,7.20E+00,1.313990467,,,,,,,,,,,,,
32,2020-02-11T13:32:00.000000000Z,73.598,73.598,73.571,73.571,171,73.5,0,0,33,1,7.20E+00,1.307914092,,,,,,,,,,,,,
33,2020-02-11T13:34:00.000000000Z,73.572,73.58,73.561,73.563,179,73.5,0,0,34,1,7.20E+00,1.302942513,,,,,,,,,,,,,
